"parent","child","relation_type"
"ELLAME","Ellame","sibling"
"ELLAME","ELLAME","sibling"
"ELLAME","ellame","sibling"
"Ellame","ELLAME","sibling"
"SALCURA","Salcura","sibling"
"SALCURA","salcura","sibling"
"Salcura","SALCURA","sibling"
"BIOFARMACIJA","Biofarmacija","sibling"
"BIOFARMACIJA","BIOFARMACIJA","sibling"
"BIOFARMACIJA","BIO","sibling"
"BIOFARMACIJA","biofarmacija","sibling"
"BIOFARMACIJA","BIOMAGNESIUM","sibling"
"BIOFARMACIJA","CLEAN ME","sibling"
"BIOFARMACIJA","rehair","sibling"
"BIOFARMACIJA","biooda","sibling"
"BIOFARMACIJA","BIOSILYMARIN","sibling"
"BIOFARMACIJA","BIOMAGNIS","sibling"
"BIOFARMACIJA","BIOKALIS","sibling"
"BIOFARMACIJA","BIO-CALCIUM","sibling"
"BIOFARMACIJA","PowerC","sibling"
"BIOFARMACIJA","BIOCALCIUM","sibling"
"BIOFARMACIJA","hyamax","sibling"
"BIOFARMACIJA","SLAIDA LINIJA","sibling"
"BIOFARMACIJA","BIOURITA","sibling"
"BIOFARMACIJA","retina","sibling"
"BIOFARMACIJA","valermax","sibling"
"BIOFARMACIJA","hydro-forte","sibling"
"BIOFARMACIJA","SPORT&JOINTS","sibling"
"BIOFARMACIJA","SPORT&CARDIO","sibling"
"Biofarmacija","BIOFARMACIJA","sibling"
"Biofarmacija","BIOODA","sibling"
"Biofarmacija","IMUNOX","sibling"
"SMEBIOCTA","SMEBIOCTA","sibling"
"SMEBIOCTA","smebiocta","sibling"
"BIONIKE","BIONIKE","sibling"
"BIONIKE","BioNike","sibling"
"FREEDOM","FREEDOM","sibling"
"FREEDOM","freedom","sibling"
"URIAGE","URIAGE","sibling"
"URIAGE","Uriage","sibling"
"URIAGE","uriage","sibling"
"T-LAB PROFESSIONAL","T-LAB PROFESSIONAL","sibling"
"T-LAB PROFESSIONAL","T-LAB Professional","sibling"
"T-LAB PROFESSIONAL","t-lab","sibling"
"LIERAC","LIERAC","sibling"
"LIERAC","Lierac","sibling"
"LIERAC","lierac","sibling"
"TOPICREM","TOPICREM","sibling"
"TOPICREM","topicrem","sibling"
"TOPICREM","Topicrem","sibling"
"FILORGA","FILORGA","sibling"
"FILORGA","Filorga","sibling"
"FILORGA","filorga","sibling"
"FILORGA","SVR","sibling"
"MANILLA","MANILLA","sibling"
"NUXE","NUXE","sibling"
"NUXE","Nuxe","sibling"
"NUXE","nuxe","sibling"
"HUMER","HUMER","sibling"
"HUMER","Humer","sibling"
"HUMER","humer","sibling"
"AVENE","AVENE","sibling"
"AVENE","Avene","sibling"
"AVENE","Avène","sibling"
"AVENE","avene","sibling"
"AVENE","Eau Thermale AVENE","sibling"
"KIDS STUFF CRAZY","KIDS STUFF","sibling"
"KIDS STUFF CRAZY","Kids Stuff","sibling"
"KIDS STUFF CRAZY","kids-stuff","sibling"
"KIDS STUFF","KIDS STUFF CRAZY","sibling"
"VICHY","VICHY","sibling"
"VICHY","Vichy","sibling"
"VICHY","vichy","sibling"
"VICHY","NORMADERM","sibling"
"EALK","EALK STEP","sibling"
"EALK","Ealk","sibling"
"EALK","ealk","sibling"
"EALK STEP","EALK","sibling"
"NEUTROGENA","NEUTROGENA","sibling"
"NEUTROGENA","Neutrogena","sibling"
"NEUTROGENA","neutrogena","sibling"
"JOWAE","JOWAE","sibling"
"JOWAE","jowae","sibling"
"SEBAMED","SEBAMED","sibling"
"SEBAMED","Sebamed","sibling"
"SEBAMED","Baby Sebamed","sibling"
"SEBAMED","sebamed","sibling"
"NOREVA","NOREVA","sibling"
"NOREVA","Noreva","sibling"
"NOREVA","noreva","sibling"
"BABE","BABE","sibling"
"BABE","Babe","sibling"
"BABE","babe","sibling"
"PHARMA OIL","Pharma Oil","sibling"
"PHARMA OIL","pharma-oil","sibling"
"Pharma Oil","PHARMA OIL","sibling"
"NOVEXPERT","Novexpert","sibling"
"NOVEXPERT","novexpert","sibling"
"NOVEXPERT","NOVEXPERT","sibling"
"Novexpert","NOVEXPERT","sibling"
"WELEDA","WELEDA","sibling"
"WELEDA","Weleda","sibling"
"WELEDA","weleda","sibling"
"TONYMOLY","TONYMOLY","sibling"
"TONYMOLY","tonymoly","sibling"
"DUREX","DUREX","sibling"
"DUREX","Durex","sibling"
"DUREX","durex","sibling"
"LACALUT","LACALUT","sibling"
"LACALUT","Lacalut","sibling"
"LACALUT","lacalut","sibling"
"SENI MAN","SENI","sibling"
"SENI MAN","seni","sibling"
"SENI","SENI MAN","sibling"
"SENI","SENI LADY","sibling"
"SENI","Seni","sibling"
"SENI","SENI","sibling"
"SENI","seni","sibling"
"SENI","SENI ACTIVE","sibling"
"SENI","SENI SOFT","sibling"
"SENI","SENI SAN","sibling"
"SENI","SENI CLASSIC","sibling"
"SENI","Seni Care","sibling"
"SENI","SENI SUPER","sibling"
"SENI","SENI SUPER QUATRO","sibling"
"SENI","SENI CLASSIC PLUS","sibling"
"SENI","KITA","sibling"
"BIOODA","Biofarmacija","sibling"
"BIOODA","biooda","sibling"
"SAPIENS","SAPIENS","sibling"
"SAPIENS","sapiens","sibling"
"MEDB","MedB","sibling"
"MEDB","medb","sibling"
"MEDB","Dr. Some","sibling"
"MEDB","dr-some","sibling"
"MedB","MEDB","sibling"
"COREGA","Corega","sibling"
"COREGA","corega","sibling"
"COREGA","COREGA","sibling"
"Corega","COREGA","sibling"
"BIOCELL","BIOCELL","sibling"
"BIOCELL","Biocell","sibling"
"BIOCELL","biocell","sibling"
"SENI LADY","SENI","sibling"
"SENI LADY","Seni","sibling"
"SENI LADY","SENI LADY","sibling"
"SENI LADY","seni","sibling"
"Humer","HUMER","sibling"
"VITABALANS","Vitabalans Oy","sibling"
"VITABALANS","BIOTIN","sibling"
"VITABALANS","Biotin","sibling"
"VITABALANS","LACTOSEVEN","sibling"
"VITABALANS","MULTI-B","sibling"
"VITABALANS","Lacto Seven","sibling"
"VITABALANS","D-MAX","sibling"
"VITABALANS","D-max","sibling"
"VITABALANS","Vitabalans Lady","sibling"
"VITABALANS","CRANBERRY STRONG","sibling"
"VITABALANS","vitabalans","sibling"
"VITABALANS","biotin","sibling"
"VITABALANS","lactoseven","sibling"
"VITABALANS","MAGNEX","sibling"
"VITABALANS","magnex","sibling"
"VITABALANS","Magnex","sibling"
"VITABALANS","VITA B12","sibling"
"Vitabalans Oy","VITABALANS","sibling"
"Vitabalans Oy","ASEPT","sibling"
"JORDAN","JORDAN","sibling"
"JORDAN","jordan","sibling"
"SENSILIS","SENSILIS","sibling"
"SENSILIS","sensilis","sibling"
"SENSILIS","Sensilis","sibling"
"Babe","BABE","sibling"
"ALTERMED","ALTERMED","sibling"
"ALTERMED","Altermed","sibling"
"ALTERMED","altermed","sibling"
"PROENZI","PROENZI","sibling"
"PROENZI","Proenzi","sibling"
"PROENZI","proenzi","sibling"
"PROENZI","atrhrostop","sibling"
"Filorga","FILORGA","sibling"
"FERVEX","FERVEX","sibling"
"FERVEX","Fervex","sibling"
"FERVEX","fervex","sibling"
"UMCKALOR","Umckalor","sibling"
"UMCKALOR","UMCKALOR","sibling"
"UMCKALOR","umckalor","sibling"
"Umckalor","UMCKALOR","sibling"
"DUPHALAC","Duphalac","sibling"
"DUPHALAC","DUPHALAC","sibling"
"DUPHALAC","duphalac","sibling"
"Duphalac","DUPHALAC","sibling"
"RAPHACHOLIN","RAPHACHOLIN","sibling"
"RAPHACHOLIN","Raphacholin","sibling"
"RAPHACHOLIN","raphacholin","sibling"
"TECNOFER","TECNOFER","sibling"
"TECNOFER","tecnoFERPlus","sibling"
"TECNOFER","tecnofer","sibling"
"TECNOFER","Baldacci","sibling"
"WHITE GLO","White Glo","sibling"
"White Glo","WHITE GLO","sibling"
"MICROLIFE","Microlife","sibling"
"MICROLIFE","MICROLIFE","sibling"
"MICROLIFE","microlife","sibling"
"MICROLIFE","NEB","sibling"
"Microlife","MICROLIFE","sibling"
"Microlife","NEB","sibling"
"AQUAINT","AQUAINT BABY NATUR","sibling"
"AQUAINT BABY NATUR","AQUAINT","sibling"
"Lysi","LYSI","sibling"
"BONCEL","BONCEL","sibling"
"BONCEL","Boncel","sibling"
"BONCEL","boncel","sibling"
"LIFEPLAN","Lifeplan","sibling"
"LIFEPLAN","LIFEPLAN","sibling"
"LIFEPLAN","lifeplan","sibling"
"LIFEPLAN","HEALTHILIFE","sibling"
"Lifeplan","LIFEPLAN","sibling"
"Lifeplan","HEALTHILIFE","sibling"
"CURASEPT","CURASEPT","sibling"
"CURASEPT","Curasept","sibling"
"CURASEPT","curasept","sibling"
"CURASEPT","Daycare Booster","sibling"
"RICHTER","RICHTER FERROBIO","sibling"
"RICHTER","RICHTER","sibling"
"RICHTER","richter","sibling"
"RICHTER","CYCLEBALANCE","sibling"
"RICHTER FERROBIO","RICHTER","sibling"
"DOPPELHERZ","Doppelherz","sibling"
"DOPPELHERZ","DOPPELHERZ","sibling"
"DOPPELHERZ","doppelherz","sibling"
"Doppelherz","DOPPELHERZ","sibling"
"Doppelherz","NORDIC NUTRIS","sibling"
"BLEPHACLEAN","Blephaclean","sibling"
"BLEPHACLEAN","blephaclean","sibling"
"BLEPHACLEAN","THEA","sibling"
"Blephaclean","BLEPHACLEAN","sibling"
"Blephaclean","BLEPHAGEL","sibling"
"DAILEE","DAILEE","sibling"
"DAILEE","Dailee","sibling"
"BIO","BIOFARMACIJA","sibling"
"ELLIPS","ELLIPS","sibling"
"ELLIPS","Ellips","sibling"
"LACTACYD","LACTACYD","sibling"
"LACTACYD","lactacyd","sibling"
"FLORADIX","Floradix","sibling"
"FLORADIX","FLORADIX","sibling"
"FLORADIX","floradix","sibling"
"Floradix","FLORADIX","sibling"
"PREGNACARE","VITABIOTICS","sibling"
"SUPER COLLAGEN","Walmark","sibling"
"SUPER COLLAGEN","walmark","sibling"
"Walmark","SUPER COLLAGEN","sibling"
"Walmark","WALMARK","sibling"
"Walmark","GINKOPRIM","sibling"
"Walmark","PERMEN","sibling"
"Walmark","MARSIEČIAI","sibling"
"Walmark","SALUTIL","sibling"
"Walmark","DIALEVEL","sibling"
"GELOMYRTOL","GELOMYRTOL FORTE","sibling"
"GELOMYRTOL FORTE","GELOMYRTOL","sibling"
"Seni","SENI","sibling"
"Seni","SENI LADY","sibling"
"Seni","SENI ACTIVE","sibling"
"Seni","SENI SOFT","sibling"
"Seni","SENI CLASSIC","sibling"
"Seni","SENI SUPER QUATRO","sibling"
"Osteocare","VITABIOTICS","sibling"
"TENA","TENA","sibling"
"TENA","Tena","sibling"
"TENA","tena","sibling"
"QUIXX","QUIXX","sibling"
"QUIXX","Quixx","sibling"
"QUIXX","quixx","sibling"
"Quixx","QUIXX","sibling"
"ANAFTIN","ANAFTIN","sibling"
"ANAFTIN","Anaftin","sibling"
"ANAFTIN","anaftin","sibling"
"MEDISMART","MediSmart","sibling"
"MEDISMART","MEDISMART","sibling"
"MEDISMART","medismart","sibling"
"MediSmart","MEDISMART","sibling"
"NEUREXAN","NEUREXAN","sibling"
"NEUREXAN","Neurexan","sibling"
"BABYONO","BabyOno","sibling"
"BABYONO","babyono","sibling"
"BabyOno","BABYONO","sibling"
"OLKO","Olko","sibling"
"OLKO","OLKO","sibling"
"OLKO","KITA","sibling"
"OLKO","olko","sibling"
"OLKO","KAIGERT","sibling"
"OLKO","AZAS ZIG-ZAG","sibling"
"OLKO","Kaigert","sibling"
"Olko","OLKO","sibling"
"INFLUCID","Influcid","sibling"
"INFLUCID","INFLUCID","sibling"
"INFLUCID","influcid","sibling"
"Influcid","INFLUCID","sibling"
"ELMEX","ELMEX","sibling"
"ELMEX","elmex","sibling"
"DIAGNOSIS","DIAGNOSIS","sibling"
"DIAGNOSIS","White Way","sibling"
"OKTISEPTAS","Oktiseptas","sibling"
"OKTISEPTAS","OKTISEPTAS","sibling"
"Oktiseptas","OKTISEPTAS","sibling"
"ORAL-B","ORAL B","sibling"
"ORAL-B","Oral B","sibling"
"ORAL-B","ORAL-B","sibling"
"ORAL-B","oral-b","sibling"
"ORAL B","ORAL-B","sibling"
"ACTIFED","Actifed","sibling"
"ACTIFED","actifed","sibling"
"ACTIFED","ACTIFED","sibling"
"Actifed","ACTIFED","sibling"
"CRESCINA","LABO","sibling"
"CRESCINA","Crescina","sibling"
"CRESCINA","CRESCINA","sibling"
"CRESCINA","crescina","sibling"
"CRESCINA","Labo International","sibling"
"CRESCINA","labo","sibling"
"LABO","CRESCINA","sibling"
"OLIDETRIM","OLIDETRIM","sibling"
"OLIDETRIM","Olidetrim","sibling"
"OLIDETRIM","olidetrim","sibling"
"Tena","TENA","sibling"
"FARMACTIVE","FARMACTIVE","sibling"
"FARMACTIVE","Farmactive","sibling"
"RENE FURTERER","RENE FURTERER","sibling"
"RENE FURTERER","Rene Furterer","sibling"
"RENE FURTERER","René Furterer","sibling"
"RENE FURTERER","rene-furterer","sibling"
"ETA","ETA","sibling"
"BETADINE","BETADINE","sibling"
"GODEFROY","GODEFROY","sibling"
"NORDAID","Propodezas","sibling"
"NORDAID","PROPODEZAS","sibling"
"NORDAID","Nordaid","sibling"
"NORDAID","nordaid","sibling"
"NORDAID","GASTROVAL","sibling"
"NORDAID","gastroval","sibling"
"NORDAID","propodezas","sibling"
"NORDAID","Valentis","sibling"
"Propodezas","NORDAID","sibling"
"Propodezas","PROPODEZAS","sibling"
"PROPODEZAS","NORDAID","sibling"
"PROPODEZAS","Propodezas","sibling"
"PROPODEZAS","PROPODEZAS FORTE","sibling"
"PROPODEZAS","PROPODEZAS","sibling"
"PROPODEZAS","propodezas","sibling"
"WELLWOMAN","VITABIOTICS","sibling"
"Wellwoman","VITABIOTICS","sibling"
"GRIPEX","GRIPEX","sibling"
"GRIPEX","Gripex","sibling"
"GRIPEX","gripex","sibling"
"Gripex","GRIPEX","sibling"
"NAVIVISION","Navivision","sibling"
"NAVIVISION","NAVI VISION PLUS","sibling"
"NAVIVISION","navivision","sibling"
"Navivision","NAVIVISION","sibling"
"KITA","ILON ABSZESS","sibling"
"KITA","ECOVAG","sibling"
"KITA","DIABETIKER VITAMINE","sibling"
"KITA","ecovag","sibling"
"KITA","kita","sibling"
"KITA","Valentis","sibling"
"KITA","Menovazinas","sibling"
"KITA","MENOVAZIN","sibling"
"KITA","REHYDRON","sibling"
"KITA","OLKO","sibling"
"KITA","Regulax","sibling"
"KITA","REGULAX","sibling"
"KITA","FENKAROL","sibling"
"KITA","Fenkarol","sibling"
"KITA","Bisacodyl-Grindeks","sibling"
"KITA","nera","sibling"
"KITA","agnucaston","sibling"
"KITA","bisacodyl","sibling"
"KITA","regulax","sibling"
"KITA","valentis","sibling"
"KITA","fenkarols","sibling"
"KITA","sanitas","sibling"
"KITA","Bisacodyl MEDA","sibling"
"KITA","VALERIAN FORTE","sibling"
"KITA","PERMETHRIN","sibling"
"KITA","Diabetiker Vitamine","sibling"
"KITA","Matopat","sibling"
"KITA","STOMACH","sibling"
"KITA","Paracetamolis","sibling"
"KITA","CASTOR","sibling"
"KITA","SALICYLIC ACID","sibling"
"KITA","VALERIANA","sibling"
"KITA","TWIG","sibling"
"KITA","innovative-pharma","sibling"
"KITA","periferisan","sibling"
"KITA","Bionorica","sibling"
"KITA","PEPERMINT","sibling"
"KITA","CAMPHOR","sibling"
"KITA","MEDICOPLAST","sibling"
"KITA","NEEDLE BUTTERFLY","sibling"
"KITA","Natur Produkt Zdrovit","sibling"
"KITA","CLINSIN","sibling"
"KITA","rehydron","sibling"
"KITA","gluco-vit","sibling"
"KITA","butterfly","sibling"
"KITA","aktyvinta-anglis","sibling"
"KITA","worwag","sibling"
"KITA","clinsin","sibling"
"KITA","ACTIVATED CARBON","sibling"
"KITA","SENI","sibling"
"KITA","BD","sibling"
"KITA","AGNUCASTON","sibling"
"ILON ABSZESS","KITA","sibling"
"ACTIVON TUBE","ACTIVON","sibling"
"ACTIVON TUBE","ActivonTube","sibling"
"ACTIVON","ACTIVON TUBE","sibling"
"MIRAMILE","MIRAMILE","sibling"
"MIRAMILE","Miramile","sibling"
"MIRAMILE","miramile","sibling"
"EVOLU","EVOLU","sibling"
"EVOLU","Evolu","sibling"
"EVOLU","evolu","sibling"
"Evolu","EVOLU","sibling"
"ELGON","ELGON","sibling"
"ELGON","elgon","sibling"
"ELGON","Elgon","sibling"
"ELGON","LINK-D","sibling"
"HEEL","Heel","sibling"
"HEEL","GYNACOHEEL","sibling"
"HEEL","NERVOHEEL","sibling"
"HEEL","heel","sibling"
"HEEL","GRIPP-HEEL","sibling"
"HEEL","VERTIGOHEEL","sibling"
"HEEL","ANGIN-HEEL","sibling"
"Heel","HEEL","sibling"
"Heel","ZEEL T","sibling"
"Heel","TRAUMEEL S","sibling"
"Heel","HEPEEL","sibling"
"Heel","LYMPHOMYOSOT","sibling"
"Heel","SPASCUPREEL","sibling"
"Heel","NUX VOMICA","sibling"
"Heel","TARTEPHEDREEL","sibling"
"Heel","PHOSPHOR HOMACCORD","sibling"
"Heel","ENGYSTOL","sibling"
"CURAPROX","Curaprox","sibling"
"CURAPROX","CURAPROX","sibling"
"CURAPROX","curaprox","sibling"
"Curaprox","CURAPROX","sibling"
"ROSSMAX","ROSSMAX","sibling"
"ROSSMAX","Rossmax","sibling"
"ROSSMAX","rossmax","sibling"
"AFLUBIN","Aflubin","sibling"
"AFLUBIN","AFLUBIN","sibling"
"AFLUBIN","aflubin","sibling"
"Aflubin","AFLUBIN","sibling"
"PHYTO","PHYTO","sibling"
"PHYTO","phyto","sibling"
"PHYTO","Phyto","sibling"
"MUCOFALK","MUCOFALK","sibling"
"MUCOFALK","Mucofalk","sibling"
"MUCOFALK","mucofalk","sibling"
"STOMAHESIVE","STOMAHESIVE","sibling"
"STOMAHESIVE","convatec","sibling"
"STOMAHESIVE","ConvaTec","sibling"
"KAMISTAD","KAMISTAD","sibling"
"KAMISTAD","Kamistad N","sibling"
"KAMISTAD","Stada","sibling"
"KAMISTAD","Kamistad","sibling"
"KAMISTAD","kamistad","sibling"
"Kamistad N","KAMISTAD","sibling"
"BROMHEXIN","BROMHEXIN","sibling"
"BROMHEXIN","Bromhexin Berlin-Chemie","sibling"
"BROMHEXIN","Bromhexine-Grindeks","sibling"
"BROMHEXIN","bromhexin","sibling"
"Bromhexin Berlin-Chemie","BROMHEXIN","sibling"
"WOOM","WOOM","sibling"
"WOOM","woom","sibling"
"A-DERMA","A-DERMA","sibling"
"A-DERMA","A-Derma","sibling"
"A-DERMA","a-derma","sibling"
"DEXERYL","Dexeryl","sibling"
"DEXERYL","DEXERYL","sibling"
"DEXERYL","dexeryl","sibling"
"Dexeryl","DEXERYL","sibling"
"ASPIRIN","Aspirin","sibling"
"ASPIRIN","Aspirin-C","sibling"
"ASPIRIN","ASPIRIN","sibling"
"ASPIRIN","aspirin","sibling"
"Aspirin","ASPIRIN","sibling"
"Dailee","DAILEE","sibling"
"HAIRBURST","HairBurst","sibling"
"HAIRBURST","HAIRBURST","sibling"
"HAIRBURST","Hairburst","sibling"
"HAIRBURST","hairburst","sibling"
